id,question,answer,box,date_created
1,Kävelitkö viime viikonloppuna meren rannalla?,en kävellyt,1,
2,Pesitkö eilen pyykit?,en pessyt pyykkiä,1,
3,Kuuntelitko eilen suomalaista musiikkia?,en kuunnellut,1,
4,Menitkö eilen kaverille?,en mennyt,1,
5,Menitkö viime viikonloppuna laivalla Tukholmaan?,en mennyt,1,
6,Ompelitko eilen?,en ommellut,1,
7,Juttelitko eilen tädin kanssa?,en jutellut,1,
8,Urheilitko viime viikolla?,en urheillut,1,
9,Keskustelitko eilen serkun kanssa?,en keskustellut,1,
10,Olitko eilen flunssainen?,en ollut,1,
11,Menitkö eilen Itäkeskukseen?,en mennyt,1,
12,Opiskelitko viime kesänä suomea?,en opiskellut,1,
13,Pyöräilitkö viime viikonloppuna metsässä?,en pyöräillyt,1,
14,Pesitkö eilen lattiat?,en pessyt lattiaa,1,
15,Menitkö eilen vaateostoksille?,menin,1,
16,Olitko eilen nepalilaisessa ravintolassa?,en ollut,1,
17,Tulitko eilen kotiin myöhään?,minä tulin,1,
18,Tulitko tänä aamuna kouluun kahdeksaksi?,en tullut,1,
19,Opiskelitko eilen kotona suomea?,opiskelin,1,
20,Latasiko eilen matkakortin?,en ladannut,1,
21,Pesitkö tänä aamuna koulussa kädet?,pesin,1,
22,Rukoilitko eilen?,rukoilin / en rukoillut,1,
23,Tiskasitko eilen koton?,tiskannut,1,
24,Katsoitko eilen jotain suomalaista ohjelmaa?,en katsonut,1,
25,Nukuitko huonosti viime yönä?,en nukkunut,1,
26,Yövitkö viime yönä kaverin luona?,En yöpynyt,2,
27,Matkustitko viime vuonna Itävaltaan?,en matkustanut,2,
28,Otitko tänä aamuna mukaan sateenvarjon?,en ottanut sateenvarjoa,2,
29,Lähditkö viime viikonloppuna Lahteen?,en lähtenyt,2,
30,Haitko viime viikolla ammattikouluun?,(hakea) en hakenut,2,
31,Luitko tänä aamuna Metro-lehteä?,en lukenut / luin,2,
32,Menitkö naimisiin kaksi vuotta sitten?,en mennyt,2,
33,"Tiesitkö, että entinen Suomen presidentti oli Tarja Halonen?",tiesin,2,
34,Soititko minulle eilen?,en soittanut,2,
35,Lensitkö viime vuonna kotimaahan?,en lentänyt,2,
36,Tykkäsitkö kieliharjoittelupaikasta?,tykkäsin,2,
37,Leivoitko viime viikolla pullaa?,en leiponut,2,
38,Palvelitko kieliharjoittelussa asiakkaita?,en palvellut,2,
39,Kävitkö viime kuussa eläintarhassa?,en käynyt,2,
40,Kuulitko kieliharjoittelussa uusia sanoja?,kuulin,2,
41,Ostitko viime viikolla jotain uutta itsellesi?,"kylla, ostin",2,
42,Tilasitko viime viikolla pizzaa kotiin?,en tilannut,2,
43,"Tiesitkö, että entinen Suomen pääkaupunki oli Turku?",tiesin,2,
44,Siivositko eilen kotona?,en siivonnut,2,
45,Korjasitko eilen tietokonetta?,korjasin / en korjannut,2,
46,"Oliko sinulla ikävä koulukavereita, kun olit kieliharjoittelussa?",minulla oli ikävä,2,
47,Söitkö eilen pikaruokaa?,en syönyt,2,
48,Joitko tänä aamuna kokista?,en juonut,2,
49,Näitkö eilen kaverin?,en nähnyt,2,
50,Otitko tänä aamuna mukaan eväitä?,en ottanut,2,
51,Minä syön / minä en syö …    juusto,juustoja,3,
52,tyttö,tyttöjä,3,
53,Minä syön / minä en syö …    kurkku,kurkkuja,3,
54,hylly,hyllyjä,3,
55,Minä syön / minä en syö …    tomaatti,tomaatteja,3,
56,Minä syön / minä en syö …    keksi,keksejä,3,
57,Minä syön / minä en syö …    pizza,pizzoja,3,
58,Minä syön / minä en syö …    kala,kaloja,3,
59,Minä syön / minä en syö …    kana,kanoja,3,
60,Minä syön / minä en syö …    muna,munia,3,
61,Minä syön / minä en syö …    leipä,leipiä,3,
62,pieni,pieniä,3,
63,herkullinen,herkullisia,3,
64,Minä syön / minä en syö …    hampurilainen,hampurilaisia,3,
65,Minä syön / minä en syö …    herne,herneitä,3,
66,tuore,tuoreita,3,
67,jää,jäitä,3,
68,Minä syön / minä en syö …    suklaa,suklaita,3,
69,Minä syön / minä en syö …    mansikka,mansikoita,3,
70,Minä syön / minä en syö …    sämpylä,sämpylöitä,3,
71,Minä syön / minä en syö …    peruna,perunoita,3,
72,Minä syön / minä en syö …    makkara,makkaroita,3,
73,Minä syön / minä en syö …    porkkana,porkkanoita,3,
74,Minä syön / minä en syö …    omena,omenoita,3,
75,Minä syön / minä en syö …    kakku,kakkuja,3,
76,Minä syön / minä en syö …    banaani,banaaneja,3,
77,asiakas,asiakkaita,3,
78,kysymys,kysymyksia,3,
79,Minä syön / minä en syö …    lihapulla,lihapullia,3,
80,Minä syön / minä en syö …    nakki,nakkeja,3,
81,Minä syön / minä en syö …    viinirypäle,viinirypäleleitä,3,
82,Minä syön / minä en syö …    hedelmä,hedelmiä,3,
83,Minä syön / minä en syö …    vihannes,vikanneksia,3,
84,Minä syön / minä en syö …    vastaus,vastauksia,3,
85,Minä syön / minä en syö …    ostos,ostoksia,3,
86,Helsingissä on paljon …    rakennus,rakennuksia,3,
87,Helsingissä on paljon …    kauppa,kauppaja,3,
88,Helsingissä on paljon …    ihminen,ihmisia,3,
89,Helsingissä on paljon …    suomalainen,suomalaisia,3,
90,Helsingissä on paljon …    turisti,turisteja,3,
91,Helsingissä on paljon …    puisto,puistoja,3,
92,Helsingissä on paljon …    ranta,rantoja,3,
93,Helsingissä on paljon …    juna,junia,3,
94,Minulla on paljon …    tavara,tavaroita,3,
95,Minulla on paljon …    ystävä,ystäviä,3,
96,Minulla on paljon …    sukulainen,sukulaisia,3,
97,Minulla on paljon …    kaveri,kavereita,3,
98,Minulla on paljon …    vaate,vaateita,3,
99,Minulla on paljon …    kotitehtävä,kotitehtäviä,3,
100,Minulla on paljon …    sormus,sormuksia,3,
101,Minulla on paljon …    sunnitelma,sunnitelmia,3,
